PPH21,GO:0016787
PPH21,GO:0016787
YFR018C,GO:0016603
ADE4,GO:0004044
ADE4,GO:0004044
ADE4,GO:0004044
AHA1,GO:0051087
AHA1,GO:0051879
ARG4,GO:0004056
PPH22,GO:0016787
PPH22,GO:0016787
STE11,GO:0005524
STE11,GO:0005524
RPO21,GO:0001055
MAK5,GO:0003724
PAB1,GO:0008143
PAB1,GO:0008143
PAB1,GO:0008428
PAB1,GO:1990841
ADE8,GO:0004644
ADE8,GO:0004644
ADE8,GO:0004644
ADE8,GO:0004644
LEU2,GO:0003862
LEU2,GO:0003862
RIT1,GO:0043399
MCM7,GO:0003678
GAL1,GO:0004335
GAL1,GO:0004335
GAL4,GO:0000978
FPS1,GO:0015267
NPY1,GO:0046872
USB1,GO:0004518
PHO3,GO:0016791
USB1,GO:1990838
MCM7,GO:0009378
GAL80,GO:0019210
GAL10,GO:0003978
GAL10,GO:0003978
GAL10,GO:0004034
RPL24A,GO:0003723
RPL24A,GO:0003735
RPL25,GO:0003723
RPL25,GO:0003735
RPL39,GO:0003735
AAC1,GO:0005471
TOP1,GO:0003917
TOP1,GO:0003917
MCM7,GO:0043138
NMA2,GO:0016779
MCM7,GO:0017116
SLM5,GO:0003676
SLM5,GO:0004812
SLM5,GO:0004812
GIT1,GO:0022857
GIT1,GO:0022857
GIT1,GO:0022857
NOP7,GO:0043021
THS1,GO:0004829
DPS1,GO:0003723
DPS1,GO:0004815
MSW1,GO:0004830
MSW1,GO:0004830
SCJ1,GO:0051082
SLM5,GO:0000166
SLM5,GO:0000166
SLM5,GO:0000166
RBK1,GO:0004747
KAR3,GO:0005524
KAR3,GO:0005524
HCM1,GO:0043565
HCM1,GO:0043565
HCM1,GO:0043565
GFD2,GO:0003676
ADH7,GO:0016491
ADH7,GO:0016491
CRH1,GO:0004553
LSC2,GO:0000287
SOL4,GO:0017057
GND2,GO:0050661
HXK1,GO:0004396
HXK1,GO:0004396
HXK1,GO:0004396
HXK2,GO:0004396
HXK2,GO:0004396
HXK2,GO:0004396
RNH70,GO:0003676
MED8,GO:0030674
