YPR023C,GO:0006325
YPR023C,GO:0006355
YKR049C,GO:0051051
YER090W,GO:0000162
YDR007W,GO:0000162
YGR254W,GO:0006096
YGR254W,GO:0032889
YDR056C,GO:0008150
YHR174W,GO:0006096
YHR174W,GO:0032889
YGL110C,GO:0072344
YNL024C-A,GO:0046907
YPL104W,GO:0006418
YER044C,GO:0070988
YKL160W,GO:0045815
YDL135C,GO:0050790
YER086W,GO:0006567
YER086W,GO:0009097
YGL026C,GO:0000162
YKL211C,GO:0000162
YIR033W,GO:0036086
YFR033C,GO:1902600
YDR050C,GO:0006096
YKL152C,GO:0006094
YKL152C,GO:0006096
YMR174C,GO:0007039
YDL185W,GO:0046034
YLR130C,GO:0030001
YLR130C,GO:0055085
YLR130C,GO:0071577
YBR289W,GO:0006338
YJL156C,GO:0016540
YDR529C,GO:1902600
Q0105,GO:1902600
YLR168C,GO:0120009
YDL181W,GO:0032780
YDL130W-A,GO:0032780
YOR101W,GO:0007189
YOR101W,GO:0045762
YOR101W,GO:0097271
YNL098C,GO:0000411
YNL098C,GO:0007190
YNL098C,GO:0016236
YNL098C,GO:0030437
YNL098C,GO:0032258
YNL098C,GO:0032880
YNL098C,GO:0045762
YNL098C,GO:0097271
YNL098C,GO:2000222
YLR127C,GO:0006511
YFL038C,GO:0006888
YFL038C,GO:0006890
YFL038C,GO:0016236
YFL038C,GO:0032258
YFL038C,GO:0032456
YFL038C,GO:0034498
YFL038C,GO:0035494
YFL038C,GO:0048194
YFL038C,GO:0048211
YFL038C,GO:0061709
YFL038C,GO:0090114
YFL038C,GO:1900101
YFL038C,GO:1990261
YPL187W,GO:0000750
YDR224C,GO:0000122
YDR224C,GO:0006301
YOR335C,GO:0006419
Q0140,GO:0032543
YDR382W,GO:0002181
YDR382W,GO:0045860
YNR031C,GO:0000161
YPR096C,GO:0045727
YGL190C,GO:2000786
YGL103W,GO:0002181
YML024W,GO:0000028
YML024W,GO:0002181
YFL037W,GO:0000070
YFL037W,GO:0030473
YFL037W,GO:0045143
YOR004W,GO:0000462
YLL041C,GO:0006099
YGL206C,GO:0006886
YPL240C,GO:0000492
YPL240C,GO:0006458
YPL240C,GO:0006626
YFR028C,GO:0000422
YPL240C,GO:0006970
YPL240C,GO:0032212
YPL074W,GO:0045727
YPL240C,GO:0042026
YPL240C,GO:0043248
YPL240C,GO:0051604
YOR187W,GO:0032543
YOR187W,GO:0070125
YER138C,GO:0090305
YNL229C,GO:0098869
YML063W,GO:0006412
YEL009C,GO:0000122
YEL009C,GO:0001080
YFR028C,GO:2000786
YEL009C,GO:0010691
YEL009C,GO:0045899
YEL009C,GO:0060261
YEL009C,GO:1903833
R0010W,GO:0042150
R0020C,GO:0030543
R0020C,GO:0008104
R0040C,GO:0030543
R0040C,GO:0050821
Q0110,GO:0008380
YPL214C,GO:0009228
YNL291C,GO:0098703
YHL038C,GO:0000372
Q0050,GO:0006278
Q0050,GO:0006315
Q0050,GO:0006397
Q0055,GO:0006314
Q0060,GO:0008150
YDR440W,GO:0006334
YDR440W,GO:0043486
Q0065,GO:0006314
Q0065,GO:0008380
Q0120,GO:0000372
Q0255,GO:0008150
Q0160,GO:0006314
YGR088W,GO:0098869
YJL104W,GO:0030150
YLR027C,GO:0009058
YDL104C,GO:0002949
YBL045C,GO:1902600
YEL021W,GO:0006207
YEL021W,GO:0006222
YJR109C,GO:0006526
YGL187C,GO:0006123
YLR395C,GO:0006123
YPR191W,GO:1902600
YEL024W,GO:1902600
YLR027C,GO:0006520
YOR181W,GO:0030041
YGR135W,GO:0006511
YLR017W,GO:0009116
YMR300C,GO:0006189
YDL140C,GO:0006366
YDL140C,GO:0019985
YOR116C,GO:0042797
YHR181W,GO:0006888
YPL053C,GO:0006888
YHR181W,GO:0090110
YLR084C,GO:0007121
YDR365W-B,GO:0090501
YOR312C,GO:0006412
YHR018C,GO:0042450
YER165W,GO:0006446
YER165W,GO:0060211
YDR408C,GO:0006164
YDR408C,GO:0006189
YDR408C,GO:0046084
YCL018W,GO:0006097
YLR300W,GO:0005975
YBL087C,GO:0006412
YDL209C,GO:0045292
YCL018W,GO:0009098
YBR020W,GO:0000411
YBR020W,GO:0033499
YBR020W,GO:0046835
YLL043W,GO:0055085
YPL248C,GO:0000435
YPL248C,GO:0006012
YGL068W,GO:0006412
YGL056C,GO:0042149
YKL149C,GO:0006397
YGL201C,GO:0006270
YGL186C,GO:0031919
YLR132C,GO:0090305
YML051W,GO:0000122
YML051W,GO:0006012
YML051W,GO:0033673
YML051W,GO:0043433
YBR019C,GO:0033499
YGL031C,GO:0002181
YOL127W,GO:0000027
YOL127W,GO:0002181
YJL189W,GO:0002181
YMR056C,GO:0006783
YMR056C,GO:0006839
YMR056C,GO:0009060
YMR056C,GO:0015886
YOR350C,GO:0000372
YOR351C,GO:0006468
YOL006C,GO:0000019
YOL006C,GO:0000183
YOL006C,GO:0006265
YOL006C,GO:0006271
YOL006C,GO:0006357
YOL006C,GO:0006368
YOL006C,GO:0007076
YOL006C,GO:0007097
YCL032W,GO:0007165
YGR096W,GO:0055085
YLR100W,GO:0006694
YIL078W,GO:0006435
YLL018C,GO:0006422
YOR065W,GO:1902600
YMR214W,GO:0006457
YCR024C,GO:0006421
YGR138C,GO:0055085
YDR268W,GO:0070183
YFR053C,GO:0006000
YFR053C,GO:0006006
YFR053C,GO:0006013
YFR053C,GO:0006096
YFR053C,GO:1990539
YFR053C,GO:0046323
YGL253W,GO:0006000
YGL253W,GO:0006006
YGL253W,GO:0006013
YPL012W,GO:0000462
YCL075W,GO:0071897
YDL145C,GO:0016192
YLR216C,GO:0000413
YGL253W,GO:0006096
YGL253W,GO:1990539
YGL253W,GO:0046015
YGL253W,GO:0046323
YEL063C,GO:0015802
YEL063C,GO:0055085
YDL164C,GO:0000278
YDL164C,GO:0006266
YDL164C,GO:0006273
YDL164C,GO:0006284
YDL136W,GO:0000463
YDL164C,GO:0006289
YDL164C,GO:0006310
YDL164C,GO:0035753
YBR135W,GO:0050790
YLR310C,GO:0007089
YLR310C,GO:0007265
YLR310C,GO:0051726
YNL055C,GO:0006811
YNL055C,GO:0006915
YNL055C,GO:0007005
YNL055C,GO:0045454
YNL055C,GO:0051027
YDR225W,GO:0000122
YDR225W,GO:0006281
YPL158C,GO:0045185
YPL158C,GO:1901900
YDR225W,GO:0061587
YKL126W,GO:0050790
YBL003C,GO:0006281
YPL212C,GO:0031119
YLR146C,GO:0006595
YGL008C,GO:0055085
YGL008C,GO:1902906
YOR386W,GO:0000719
YML099C,GO:0000821
YJL088W,GO:0006526
YBR021W,GO:0015857
YBR021W,GO:0055085
YPL212C,GO:0009451
YEL034W,GO:0006413
YPR158C-D,GO:0006508
YOR207C,GO:0006351
YGR183C,GO:1902600
YCL054W,GO:0000453
YLR340W,GO:0000027
YLR340W,GO:0002181
YPL198W,GO:0000463
YDL081C,GO:0002181
YDL081C,GO:0045860
YOL039W,GO:0002181
YGL040C,GO:0006783
YGR157W,GO:0006656
YPR103W,GO:0051603
YPL060C-A,GO:0006508
